Rank,Player,Position,Team,Games,Goals,Penalties,Goals/Games
89,Антонио Майкл,Нападающий,Вест Хэм,12,2,0,0.17
90,Беллегар Жанриснер,Полузащитник,Вулверхэмптон,12,2,0,0.17
91,Доку Жереми,Нападающий,Манчестер Сити,12,2,0,0.17
92,Домингес Николас,Полузащитник,Ноттингем Форест,12,2,0,0.17
93,Винисиус,Нападающий,Фулхэм,13,2,0,0.15
94,Синистерра Луис,Нападающий,Борнмут,13,2,0,0.15
95,Уэлбек Дэнни,Нападающий,Брайтон,13,2,0,0.15
96,Родригес Джей,Нападающий,Бернли,13,2,1,0.15
97,Дуран Джон,Нападающий,Астон Вилла,14,2,0,0.14
98,Льюис-Петтер Кин,Нападающий,Брентфорд,14,2,0,0.14
99,Аканджи Мануэль,Защитник,Манчестер Сити,15,2,0,0.13
100,Баркли Росс,Полузащитник,Лутон Таун,15,2,0,0.13
Rank,Player,Position,Team,Games,Goals,Penalties,Goals/Games
101,Харрисон Джек,Полузащитник,Эвертон,15,2,0,0.13
102,Аке Натан,Защитник,Манчестер Сити,16,2,0,0.13
103,Берн Дэн,Защитник,Ньюкасл,16,2,0,0.13
104,Жоэлинтон,Нападающий,Ньюкасл,16,2,0,0.13
105,Клюйверт Джастин,Нападающий,Борнмут,16,2,0,0.13
106,Миколенко Виталий,Защитник,Эвертон,16,2,0,0.13
107,Хёйлунд Расмус,Нападающий,Ман Юнайтед,16,2,0,0.13
108,Ларсен Якоб,Нападающий,Бернли,17,2,0,0.12
109,Сенеси Маркос,Защитник,Борнмут,17,2,0,0.12
110,Таверньер Маркус,Полузащитник,Борнмут,17,2,0,0.12
111,Александер-Арнольд Трент,Защитник,Ливерпуль,18,2,0,0.11
112,Браун Джейкоб,Нападающий,Лутон Таун,18,2,0,0.11
113,Кэш Мэтти,Защитник,Астон Вилла,18,2,0,0.11
114,Лонгстафф Шон,Полузащитник,Ньюкасл,18,2,0,0.11
115,Макнил Дуайт,Нападающий,Эвертон,18,2,0,0.11
116,Палинья,Полузащитник,Фулхэм,18,2,0,0.11
117,Сарр Папе,Полузащитник,Тоттенхэм,18,2,0,0.11
118,Торрес Пау,Защитник,Астон Вилла,18,2,0,0.11
119,Лукас Пакета,Полузащитник,Вест Хэм,18,2,1,0.11
120,Матета Жан-Филипп,Нападающий,Кристал Пэлас,18,2,1,0.11
